Year,Series Name,Country Name,Value
1996,Political Stability and Absence of Violence/Terrorism: Estimate,China,-0.0978488251566887
1996,Political Stability and Absence of Violence/Terrorism: Estimate,India,-0.972584128379822
1996,Control of Corruption: Estimate,China,-0.271189510822296
1996,Control of Corruption: Estimate,India,-0.381090342998505
1996,Control of Corruption: Number of Sources,China,7.0
1996,Control of Corruption: Number of Sources,India,7.0
1996,Control of Corruption: Percentile Rank,China,48.3870964050293
1996,Control of Corruption: Percentile Rank,India,43.0107536315918
1996,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",China,32.2580642700195
1996,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",India,29.5698928833008
1996,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",China,58.6021499633789
1996,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",India,53.7634391784668
1996,Control of Corruption: Standard Error,China,0.188621625304222
1996,Control of Corruption: Standard Error,India,0.188621625304222
1996,Government Effectiveness: Estimate,China,-0.348653882741928
1996,Government Effectiveness: Estimate,India,-0.111606687307358
1996,Government Effectiveness: Number of Sources,China,5.0
1996,Government Effectiveness: Number of Sources,India,5.0
1996,Government Effectiveness: Percentile Rank,China,43.1693992614746
1996,Government Effectiveness: Percentile Rank,India,54.0983619689941
1996,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",China,30.6010932922363
1996,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",India,38.2513656616211
1996,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",China,55.7377052307129
1996,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",India,59.5628433227539
1996,Government Effectiveness: Standard Error,China,0.168259218335152
1996,Government Effectiveness: Standard Error,India,0.168259218335152
1996,Political Stability and Absence of Violence/Terrorism: Number of Sources,China,4.0
1996,Political Stability and Absence of Violence/Terrorism: Number of Sources,India,4.0
1996,Political Stability and Absence of Violence/Terrorism: Percentile Rank,China,44.1489372253418
1996,Political Stability and Absence of Violence/Terrorism: Percentile Rank,India,19.1489353179932
1996,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",China,22.8723411560059
1996,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",India,6.91489362716675
1996,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",China,62.2340431213379
1996,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",India,34.042552947998
1996,Political Stability and Absence of Violence/Terrorism: Standard Error,China,0.373912304639816
1996,Political Stability and Absence of Violence/Terrorism: Standard Error,India,0.373912304639816
1996,Regulatory Quality: Estimate,China,-0.266652703285217
1996,Regulatory Quality: Estimate,India,-0.55334997177124
1996,Regulatory Quality: Number of Sources,China,6.0
1996,Regulatory Quality: Number of Sources,India,6.0
1996,Regulatory Quality: Percentile Rank,China,45.1086959838867
